Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Asia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Hong Kong(ＵＫ）,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Asia Total,,,,,Korea,,,,,China,,,,,Taiwan,,,,,Hong Kong,,,,,Thailand,,,,,Singapore,,,,,Malaysia,,,,,Indonesia,,,,,Philippines,,,,,Vietnam,,,,,India,,,,,Middle East,★new category from Feb 2020,,,,Israel,,,,,Turkey,,,,,Gulf Cooperation Council,,★new category from Feb 2020,,,Macau,★new category from Jan 2016,,,,Mongolia,★new category from Jan 2016,,,,Asia Unclassified,,,,,,Hong Kong residents with British National Overseas passport,,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,issues by the former Hong Kong Government,,,,,,,,,,,,,,,,,,,,
,1996　Jan．,"173,790 ","87,218 ","43,262 ","35,193 ","8,117 ","89,392 ","51,814 ","23,453 ","10,713 ","3,412 ","21,505 ","1,538 ","5,007 ","12,589 ","2,371 ","33,746 ","24,891 ","5,205 ","3,639 ",11 ,"7,204 ","4,212 ","2,074 ",417 ,501 ,"3,614 ",708 ,"1,281 ","1,183 ",442 ,"2,578 ",719 ,"1,314 ",534 ,11 ,"2,186 ",804 ,"1,184 ",198 ,0 ,"2,738 ",555 ,644 ,"1,051 ",488 ,"5,044 ",871 ,896 ,"2,857 ",420 ,,,,,,"2,046 ",202 ,998 ,598 ,248 ,,,,,,327 ,93 ,184 ,50 ,0 ,,,,,,,,,,,,,,,,,,,,,"3,410 ",811 ,"1,022 ","1,364 ",213 ,,"5,749 ","3,502 ","1,603 ",292 ,352 ,,,,,,,,,,,,,,,,
,Feb．,"194,510 ","125,331 ","41,841 ","20,413 ","6,925 ","73,878 ","41,380 ","25,475 ","5,088 ","1,935 ","14,876 ","1,400 ","3,056 ","8,348 ","2,072 ","61,453 ","55,635 ","4,053 ","1,761 ",4 ,"18,852 ","16,050 ","1,777 ",327 ,698 ,"4,076 ","1,475 ","1,575 ",592 ,434 ,"4,577 ","3,150 ","1,037 ",388 ,2 ,"3,974 ","2,840 ","1,030 ",103 ,1 ,"3,729 ","1,208 ",535 ,797 ,"1,189 ","4,177 ",982 ,940 ,"1,897 ",358 ,,,,,,"1,729 ",199 ,"1,111 ",330 ,89 ,,,,,,714 ,379 ,291 ,44 ,0 ,,,,,,,,,,,,,,,,,,,,,"2,475 ",633 ,961 ,738 ,143 ,,"15,540 ","13,433 ","1,393 ",175 ,539 ,,,,,,,,,,,,,,,,
,Mar．,"188,862 ","100,407 ","50,467 ","32,344 ","5,644 ","74,250 ","35,576 ","28,047 ","9,436 ","1,191 ","21,066 ","1,945 ","4,720 ","12,003 ","2,398 ","53,728 ","44,421 ","5,474 ","3,832 ",1 ,"13,013 ","9,900 ","2,232 ",477 ,404 ,"5,454 ","2,081 ","2,092 ",896 ,385 ,"4,743 ","1,505 ","2,005 ","1,231 ",2 ,"3,213 ","1,554 ","1,503 ",156 ,0 ,"2,836 ",728 ,824 ,693 ,591 ,"4,988 ","1,351 ","1,053 ","2,135 ",449 ,,,,,,"1,815 ",311 ,"1,034 ",401 ,69 ,,,,,,572 ,265 ,262 ,45 ,0 ,,,,,,,,,,,,,,,,,,,,,"3,184 ",770 ,"1,221 ","1,039 ",154 ,,"10,844 ","8,493 ","1,747 ",299 ,305 ,,,,,,,,,,,,,,,,
,Apr．,"209,786 ","128,832 ","50,035 ","25,580 ","5,339 ","78,579 ","41,980 ","28,338 ","7,730 ",531 ,"18,047 ","2,179 ","5,069 ","8,361 ","2,438 ","64,554 ","56,436 ","5,268 ","2,850 ",0 ,"14,908 ","12,083 ","2,057 ",368 ,400 ,"8,976 ","5,617 ","1,937 ",725 ,697 ,"4,820 ","2,239 ","1,741 ",838 ,2 ,"4,744 ","3,254 ","1,348 ",141 ,1 ,"3,302 ","1,141 ",836 ,874 ,451 ,"5,819 ","2,082 ","1,010 ","2,140 ",587 ,,,,,,"2,005 ",540 ,"1,016 ",389 ,60 ,,,,,,589 ,239 ,279 ,71 ,0 ,,,,,,,,,,,,,,,,,,,,,"3,443 ","1,042 ","1,136 ","1,093 ",172 ,,"12,375 ","10,261 ","1,595 ",238 ,281 ,,,,,,,,,,,,,,,,
,May．,"209,406 ","122,923 ","55,853 ","24,345 ","6,285 ","81,678 ","45,169 ","29,690 ","6,278 ",541 ,"20,713 ","2,181 ","5,924 ","9,670 ","2,938 ","62,251 ","54,288 ","6,101 ","1,861 ",1 ,"11,626 ","8,475 ","2,416 ",253 ,482 ,"5,872 ","2,405 ","2,248 ",727 ,492 ,"5,064 ","2,492 ","2,012 ",552 ,8 ,"4,958 ","3,083 ","1,743 ",131 ,1 ,"3,429 ","1,007 ","1,037 ",915 ,470 ,"6,768 ","2,037 ","1,336 ","2,354 ","1,041 ",,,,,,"2,639 ",653 ,"1,412 ",458 ,116 ,,,,,,585 ,225 ,315 ,45 ,0 ,,,,,,,,,,,,,,,,,,,,,"3,823 ",908 ,"1,619 ","1,101 ",195 ,,"9,258 ","6,907 ","1,855 ",150 ,346 ,,,,,,,,,,,,,,,,
,Jun．,"205,507 ","126,129 ","52,821 ","17,738 ","8,819 ","73,941 ","39,452 ","28,481 ","4,749 ","1,259 ","18,703 ","2,289 ","6,115 ","6,485 ","3,814 ","63,835 ","57,163 ","5,508 ","1,164 ",0 ,"17,407 ","14,037 ","2,329 ",271 ,770 ,"4,313 ","1,378 ","2,005 ",524 ,406 ,"4,391 ","2,190 ","1,874 ",320 ,7 ,"5,623 ","4,087 ","1,435 ",101 ,0 ,"5,168 ","2,133 ",872 ,671 ,"1,492 ","5,703 ","1,661 ","1,166 ","2,176 ",700 ,,,,,,"2,460 ",601 ,"1,324 ",377 ,158 ,,,,,,552 ,217 ,310 ,25 ,0 ,,,,,,,,,,,,,,,,,,,,,"3,411 ",921 ,"1,402 ",875 ,213 ,,"14,336 ","11,754 ","1,841 ",162 ,579 ,,,,,,,,,,,,,,,,
,Jul．,"256,734 ","176,659 ","49,537 ","18,512 ","12,026 ","98,646 ","62,764 ","26,773 ","4,317 ","4,792 ","18,793 ","2,956 ","5,277 ","7,281 ","3,279 ","88,230 ","81,947 ","5,100 ","1,183 ",0 ,"22,185 ","19,132 ","2,118 ",254 ,681 ,"4,800 ","1,659 ","2,097 ",570 ,474 ,"3,609 ","1,475 ","1,819 ",312 ,3 ,"2,851 ","1,308 ","1,445 ",97 ,1 ,"5,016 ","1,524 ",912 ,943 ,"1,637 ","5,613 ","1,597 ","1,064 ","2,241 ",711 ,,,,,,"2,401 ",487 ,"1,368 ",381 ,165 ,,,,,,582 ,304 ,233 ,45 ,0 ,,,,,,,,,,,,,,,,,,,,,"4,008 ","1,506 ","1,331 ",888 ,283 ,,"18,640 ","16,256 ","1,669 ",154 ,561 ,,,,,,,,,,,,,,,,
,Aug．,"241,452 ","158,031 ","37,479 ","34,795 ","11,147 ","107,339 ","70,499 ","19,856 ","10,744 ","6,240 ","21,988 ","2,881 ","3,822 ","12,597 ","2,688 ","67,624 ","59,920 ","4,182 ","3,522 ",0 ,"19,618 ","16,888 ","1,624 ",440 ,666 ,"4,039 ","1,236 ","1,699 ",734 ,370 ,"3,349 ","1,274 ","1,423 ",642 ,10 ,"2,413 ","1,166 ",994 ,253 ,0 ,"2,912 ",984 ,750 ,857 ,321 ,"5,673 ","1,317 ",863 ,"2,978 ",515 ,,,,,,"2,103 ",399 ,"1,007 ",587 ,110 ,,,,,,565 ,254 ,215 ,96 ,0 ,,,,,,,,,,,,,,,,,,,,,"3,829 ","1,213 ","1,044 ","1,345 ",227 ,,"16,580 ","14,444 ","1,299 ",311 ,526 ,,,,,,,,,,,,,,,,
,Sep．,"195,179 ","106,997 ","51,535 ","31,048 ","5,599 ","73,200 ","39,335 ","25,569 ","7,753 ",543 ,"23,480 ","3,111 ","5,837 ","11,189 ","3,343 ","57,546 ","48,245 ","5,629 ","3,672 ",0 ,"10,712 ","7,336 ","2,541 ",447 ,388 ,"5,171 ","1,514 ","2,437 ",962 ,258 ,"3,977 ","1,230 ","1,947 ",796 ,4 ,"3,261 ","1,482 ","1,608 ",169 ,2 ,"3,600 ","1,127 ","1,091 ","1,006 ",376 ,"6,124 ","1,485 ","1,294 ","2,966 ",379 ,,,,,,"2,836 ",522 ,"1,610 ",570 ,134 ,,,,,,640 ,352 ,225 ,63 ,0 ,,,,,,,,,,,,,,,,,,,,,"4,632 ","1,258 ","1,747 ","1,455 ",172 ,,"8,900 ","6,269 ","2,039 ",297 ,295 ,,,,,,,,,,,,,,,,
,Oct．,"229,391 ","134,804 ","62,312 ","26,291 ","5,984 ","86,693 ","46,401 ","32,726 ","7,044 ",522 ,"23,560 ","3,391 ","6,597 ","10,047 ","3,525 ","72,306 ","64,067 ","6,541 ","1,698 ",0 ,"11,221 ","7,798 ","2,623 ",397 ,403 ,"8,664 ","4,546 ","2,778 ",795 ,545 ,"4,448 ","1,538 ","2,470 ",429 ,11 ,"4,027 ","2,037 ","1,881 ",108 ,1 ,"4,313 ","1,424 ","1,609 ","1,045 ",235 ,"6,422 ","1,496 ","1,419 ","2,995 ",512 ,,,,,,"2,638 ",591 ,"1,469 ",502 ,76 ,,,,,,713 ,356 ,309 ,48 ,0 ,,,,,,,,,,,,,,,,,,,,,"4,386 ","1,159 ","1,890 ","1,183 ",154 ,,"9,449 ","6,695 ","2,167 ",271 ,316 ,,,,,,,,,,,,,,,,
