Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Europe Total,,,,,United Kingdom,,,,,France,,,,,Germany,,,,,Italy,,,,,Russia,,,,,Spain,,,,,Sweden,,,,,Netherland,,,,,Swiss,,,,,Belgium,,,,,Finland,,,,,Poland,,,,,Denmark,,,,,Norway,,,,,Austria,,,,,Portugal,,,,,Ireland,,,,,Europe Unclassified,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,
,1996　Jan．,"34,304 ","9,599 ","15,853 ","8,576 ",276 ,"11,702 ","3,579 ","5,066 ","3,049 ",8 ,"4,041 ","1,023 ","1,977 ","1,041 ",0 ,"4,943 ","1,295 ","2,691 ",956 ,1 ,"1,922 ",418 ,"1,166 ",338 ,0 ,"1,897 ",525 ,339 ,861 ,172 ,723 ,209 ,377 ,137 ,0 ,"1,221 ",324 ,728 ,169 ,0 ,"1,310 ",353 ,772 ,185 ,0 ,"1,096 ",372 ,595 ,129 ,0 ,581 ,186 ,291 ,104 ,0 ,579 ,204 ,288 ,87 ,0 ,,,,,,641 ,177 ,339 ,125 ,0 ,430 ,128 ,251 ,51 ,0 ,593 ,161 ,233 ,197 ,2 ,,,,,,842 ,239 ,243 ,360 ,0 ,"1,783 ",406 ,497 ,787 ,93,,,,,,
,Feb．,"32,448 ","12,083 ","17,071 ","3,083 ",211 ,"10,216 ","4,339 ","5,181 ",696 ,0 ,"3,668 ","1,248 ","2,109 ",311 ,0 ,"5,559 ","2,220 ","2,856 ",483 ,0 ,"1,794 ",465 ,"1,249 ",80 ,0 ,"1,572 ",403 ,557 ,429 ,183 ,884 ,267 ,500 ,117 ,0 ,"1,154 ",319 ,730 ,105 ,0 ,"1,440 ",452 ,905 ,83 ,0 ,"1,202 ",458 ,683 ,61 ,0 ,496 ,149 ,318 ,29 ,0 ,531 ,233 ,272 ,26 ,0 ,,,,,,598 ,199 ,356 ,43 ,0 ,491 ,162 ,303 ,26 ,0 ,767 ,360 ,298 ,109 ,0 ,,,,,,521 ,223 ,234 ,64 ,0 ,"1,555 ",586 ,520 ,421 ,28,,,,,,
,Mar．,"43,345 ","18,023 ","20,366 ","4,608 ",348 ,"14,017 ","6,883 ","5,927 ","1,205 ",2 ,"4,898 ","1,688 ","2,559 ",651 ,0 ,"7,369 ","3,165 ","3,512 ",692 ,0 ,"2,178 ",788 ,"1,247 ",143 ,0 ,"2,104 ",663 ,627 ,512 ,302 ,"1,176 ",455 ,619 ,102 ,0 ,"1,545 ",491 ,918 ,136 ,0 ,"2,024 ",706 ,"1,175 ",143 ,0 ,"1,480 ",615 ,773 ,92 ,0 ,725 ,219 ,447 ,59 ,0 ,703 ,235 ,394 ,74 ,0 ,,,,,,878 ,299 ,507 ,72 ,0 ,584 ,208 ,336 ,40 ,0 ,855 ,385 ,387 ,83 ,0 ,,,,,,733 ,355 ,269 ,109 ,0 ,"2,076 ",868 ,669 ,495 ,44,,,,,,
,Apr．,"41,667 ","17,853 ","18,378 ","5,160 ",276 ,"13,114 ","6,005 ","5,483 ","1,626 ",0 ,"5,388 ","2,488 ","2,244 ",656 ,0 ,"6,442 ","2,745 ","3,049 ",648 ,0 ,"2,274 ",845 ,"1,185 ",244 ,0 ,"2,080 ",716 ,664 ,458 ,242 ,"1,065 ",362 ,569 ,134 ,0 ,"1,546 ",539 ,861 ,146 ,0 ,"1,811 ",695 ,993 ,123 ,0 ,"1,644 ",765 ,750 ,129 ,0 ,788 ,308 ,412 ,68 ,0 ,577 ,214 ,311 ,52 ,0 ,,,,,,854 ,323 ,467 ,64 ,0 ,543 ,209 ,290 ,44 ,0 ,793 ,380 ,319 ,94 ,0 ,,,,,,727 ,320 ,264 ,143 ,0 ,"2,021 ",939 ,517 ,531 ,34,,,,,,
,May．,"39,687 ","13,797 ","20,441 ","5,219 ",230 ,"11,723 ","4,384 ","6,155 ","1,181 ",3 ,"4,767 ","1,572 ","2,447 ",748 ,0 ,"6,909 ","2,402 ","3,633 ",874 ,0 ,"2,411 ",744 ,"1,362 ",305 ,0 ,"2,104 ",648 ,637 ,618 ,201 ,"1,031 ",363 ,558 ,110 ,0 ,"1,348 ",363 ,893 ,92 ,0 ,"1,665 ",577 ,974 ,114 ,0 ,"1,429 ",550 ,801 ,78 ,0 ,697 ,257 ,380 ,60 ,0 ,670 ,220 ,401 ,49 ,0 ,,,,,,778 ,271 ,444 ,63 ,0 ,486 ,150 ,309 ,27 ,0 ,811 ,350 ,354 ,107 ,0 ,,,,,,681 ,236 ,276 ,169 ,0 ,"2,177 ",710 ,817 ,624 ,26,,,,,,
,Jun．,"34,767 ","12,888 ","18,236 ","3,411 ",232 ,"10,617 ","3,910 ","5,686 ","1,021 ",0 ,"4,644 ","1,567 ","2,654 ",423 ,0 ,"5,080 ","1,680 ","3,070 ",330 ,0 ,"1,957 ",638 ,"1,169 ",148 ,2 ,"2,353 ","1,209 ",429 ,535 ,180 ,"1,116 ",496 ,541 ,79 ,0 ,"1,234 ",460 ,708 ,66 ,0 ,"1,400 ",444 ,887 ,69 ,0 ,"1,205 ",407 ,732 ,66 ,0 ,640 ,185 ,414 ,41 ,0 ,515 ,225 ,261 ,29 ,0 ,,,,,,645 ,256 ,354 ,35 ,0 ,435 ,156 ,257 ,22 ,0 ,657 ,262 ,322 ,73 ,0 ,,,,,,606 ,281 ,226 ,99 ,0 ,"1,663 ",712 ,526 ,375 ,50,,,,,,
,Jul．,"40,629 ","19,916 ","15,734 ","4,766 ",213 ,"12,407 ","5,812 ","5,018 ","1,577 ",0 ,"5,143 ","2,635 ","2,020 ",488 ,0 ,"6,159 ","2,864 ","2,848 ",447 ,0 ,"2,375 ",944 ,"1,239 ",192 ,0 ,"3,199 ","1,717 ",512 ,809 ,161 ,991 ,489 ,437 ,65 ,0 ,"1,141 ",525 ,526 ,90 ,0 ,"1,522 ",670 ,687 ,165 ,0 ,"1,441 ",753 ,624 ,64 ,0 ,888 ,529 ,309 ,50 ,0 ,642 ,401 ,190 ,51 ,0 ,,,,,,720 ,409 ,255 ,56 ,0 ,463 ,235 ,203 ,25 ,0 ,740 ,411 ,226 ,103 ,0 ,,,,,,645 ,288 ,208 ,149 ,0 ,"2,153 ","1,234 ",432 ,435 ,52,,,,,,
,Aug．,"35,976 ","16,853 ","11,836 ","7,013 ",274 ,"10,761 ","5,082 ","3,484 ","2,195 ",0 ,"4,466 ","2,217 ","1,356 ",893 ,0 ,"5,363 ","2,249 ","2,241 ",873 ,0 ,"2,078 ",953 ,706 ,419 ,0 ,"2,958 ","1,668 ",400 ,669 ,221 ,"1,153 ",638 ,408 ,107 ,0 ,"1,205 ",366 ,575 ,264 ,0 ,"1,263 ",497 ,550 ,216 ,0 ,"1,144 ",449 ,511 ,184 ,0 ,577 ,231 ,225 ,121 ,0 ,463 ,169 ,201 ,93 ,0 ,,,,,,746 ,291 ,336 ,119 ,0 ,479 ,149 ,208 ,122 ,0 ,580 ,310 ,189 ,81 ,0 ,,,,,,601 ,262 ,143 ,196 ,0 ,"2,139 ","1,322 ",303 ,461 ,53,,,,,,
,Sep．,"39,843 ","13,919 ","19,369 ","6,372 ",183 ,"11,229 ","3,725 ","5,824 ","1,679 ",1 ,"4,718 ","1,591 ","2,274 ",853 ,0 ,"6,411 ","2,433 ","3,301 ",677 ,0 ,"2,619 ",752 ,"1,259 ",608 ,0 ,"2,213 ","1,035 ",453 ,574 ,151 ,"1,293 ",524 ,631 ,138 ,0 ,"1,435 ",383 ,925 ,127 ,0 ,"1,973 ",629 ,"1,078 ",266 ,0 ,"1,514 ",588 ,814 ,112 ,0 ,734 ,246 ,413 ,75 ,0 ,696 ,186 ,342 ,168 ,0 ,,,,,,839 ,281 ,475 ,83 ,0 ,564 ,216 ,302 ,46 ,0 ,785 ,288 ,288 ,209 ,0 ,,,,,,658 ,270 ,236 ,151 ,1 ,"2,162 ",772 ,754 ,606 ,30,,,,,,
,Oct．,"51,264 ","19,774 ","25,080 ","6,188 ",222 ,"13,362 ","4,900 ","7,027 ","1,435 ",0 ,"6,191 ","2,377 ","3,196 ",618 ,0 ,"9,034 ","3,775 ","4,532 ",727 ,0 ,"3,227 ","1,245 ","1,675 ",307 ,0 ,"3,277 ","1,297 ",761 ,"1,022 ",197 ,"1,326 ",709 ,520 ,97 ,0 ,"1,992 ",663 ,"1,141 ",188 ,0 ,"2,157 ",769 ,"1,259 ",129 ,0 ,"1,979 ",835 ,"1,033 ",111 ,0 ,"1,140 ",443 ,597 ,100 ,0 ,857 ,314 ,490 ,53 ,0 ,,,,,,"1,060 ",414 ,582 ,64 ,0 ,786 ,217 ,519 ,50 ,0 ,"1,126 ",389 ,412 ,325 ,0 ,,,,,,693 ,271 ,290 ,132 ,0 ,"3,057 ","1,156 ","1,046 ",830 ,25,,,,,,
