Year,Month,grand_total,percent_change
1996,01,276086,0
1996,02,283667,0
1996,03,310702,0
1996,04,329303,0
1996,05,326156,0
1996,06,316699,0
1996,07,377070,0
1996,08,345020,0
1996,09,311881,0
1996,10,366841,0
1996,11,316551,0
1996,12,277137,0
1997,01,302148,9.4
1997,02,309318,9
1997,03,355228,14.3
1997,04,364875,10.8
1997,05,350961,7.6
1997,06,345070,9
1997,07,407510,8.1
1997,08,395056,14.5
1997,09,345382,10.7
1997,10,419235,14.3
1997,11,342434,8.2
1997,12,280991,1.4
1998,01,324913,7.5
1998,02,284792,-7.9
1998,03,325185,-8.5
1998,04,349854,-4.1
1998,05,320277,-8.7
1998,06,333460,-3.4
1998,07,399305,-2
1998,08,401594,1.7
1998,09,330401,-4.3
1998,10,405150,-3.4
1998,11,328978,-3.9
1998,12,302148,7.5
1999,01,308764,-5
1999,02,330460,16
1999,03,353512,8.7
1999,04,388777,11.1
1999,05,364474,13.8
1999,06,379914,13.9
1999,07,446236,11.8
1999,08,418094,4.1
1999,09,360579,9.1
1999,10,410942,1.4
1999,11,358193,8.9
1999,12,317918,5.2
2000,01,335621,8.7
2000,02,360621,9.1
2000,03,365689,3.4
2000,04,443028,14
2000,05,381053,4.5
2000,06,400139,5.3
2000,07,483849,8.4
2000,08,423361,1.3
2000,09,379753,5.3
2000,10,443862,8
2000,11,378910,5.8
2000,12,361260,13.6
2001,01,416490,24.1
2001,02,315483,-12.5
2001,03,401054,9.7
2001,04,449934,1.6
2001,05,390515,2.5
2001,06,403477,0.8
2001,07,479822,-0.8
2001,08,433490,2.4
2001,09,354578,-6.6
2001,10,403181,-9.2
2001,11,354484,-6.4
2001,12,369047,2.2
2002,01,392588,-5.7
2002,02,400081,26.8
2002,03,434034,8.2
2002,04,460377,2.3
2002,05,438537,12.3
2002,06,441123,9.3
2002,07,516013,7.5
2002,08,484771,11.8
2002,09,401407,13.2
2002,10,471813,17
2002,11,404537,14.1
2002,12,393682,6.7
2003,01,450847,14.8
2003,02,394869,-1.3
2003,03,456614,5.2
2003,04,354054,-23.1
2003,05,288562,-34.2
2003,06,352431,-20.1
2003,07,515692,-0.1
2003,08,550380,13.5
2003,09,457574,14
2003,10,527859,11.9
2003,11,444435,9.9
2003,12,418408,6.3
2004,01,538334,19.4
2004,02,417519,5.7
2004,03,488778,7
2004,04,546662,54.4
2004,05,500830,73.6
2004,06,505003,43.3
2004,07,610190,13.8
2004,08,567869,7.2
2004,09,481570,5.2
2004,10,539353,2.2
2004,11,486403,9.4
2004,12,455394,8.8
2005,01,516280,-4.1
2005,02,519460,24.4
2005,03,557640,14.1
2005,04,584406,6.9
2005,05,530752,6
2005,06,551134,9.1
2005,07,669172,9.7
2005,08,618655,8.9
2005,09,540462,12.2
2005,10,599539,11.2
2005,11,526229,8.2
2005,12,514197,12.9
2006,01,613596,18.8
2006,02,513906,-1.1
2006,03,579197,3.9
2006,04,672319,15
2006,05,586326,12.7
2006,06,557600,1.2
2006,07,701527,4.8
2006,08,655488,6
2006,09,573627,6.1
2006,10,699605,16.7
2006,11,595069,13.1
2006,12,585817,13.9
2007,01,617885,0.7
2007,02,631278,22.8
2007,03,684654,18.2
2007,04,714014,6.2
2007,05,664489,13.3
2007,06,631874,13.3
2007,07,807737,15.1
2007,08,757473,15.6
2007,09,689183,20.1
2007,10,785207,12.2
2007,11,686747,15.4
2007,12,676428,15.5
2008,01,711350,15.1
2008,02,696326,10.3
2008,03,731619,6.9
2008,04,779909,9.2
2008,05,736122,10.8
2008,06,681563,7.9
2008,07,825012,2.1
2008,08,742022,-2
2008,09,641235,-7
2008,10,738832,-5.9
2008,11,553491,-19.4
2008,12,513354,-24.1
2009,01,580673,-18.4
2009,02,408628,-41.3
2009,03,568586,-22.3
2009,04,626313,-19.7
2009,05,485713,-34
2009,06,424427,-37.7
2009,07,632722,-23.3
2009,08,679586,-8.4
2009,09,535544,-16.5
2009,10,655481,-11.3
2009,11,565089,2.1
2009,12,626896,22.1
2010,01,640346,10.3
2010,02,664982,62.7
2010,03,709684,24.8
2010,04,788212,25.8
2010,05,721348,48.5
2010,06,677064,59.5
2010,07,878582,38.9
2010,08,802725,18.1
2010,09,717756,34
2010,10,727278,11
2010,11,634818,12.3
2010,12,648380,3.4
2011,01,714099,11.5
2011,02,679393,2.2
2011,03,352676,-50.3
2011,04,295826,-62.5
2011,05,357783,-50.4
2011,06,432883,-36.1
2011,07,561489,-36.1
2011,08,546503,-31.9
2011,09,538727,-24.9
2011,10,615701,-15.3
2011,11,551571,-13.1
2011,12,572101,-11.8
2012,01,681786,-4.5
2012,02,546451,-19.6
2012,03,676662,91.9
2012,04,779481,163.5
2012,05,667046,86.4
2012,06,682932,57.8
2012,07,847194,50.9
2012,08,774239,41.7
2012,09,658239,22.2
2012,10,705848,14.6
2012,11,648548,17.6
2012,12,689679,20.6
2013,01,668610,-1.9
2013,02,729460,33.5
2013,03,857024,26.7
2013,04,923017,18.4
2013,05,875408,31.2
2013,06,901066,31.9
2013,07,1003032,18.4
2013,08,906379,17.1
2013,09,866966,31.7
2013,10,928560,31.6
2013,11,839891,29.5
2013,12,864491,25.3
2014,01,944009,41.2
2014,02,880020,20.6
2014,03,1050559,22.6
2014,04,1231471,33.4
2014,05,1097211,25.3
2014,06,1055273,17.1
2014,07,1270048,26.6
2014,08,1109569,22.4
2014,09,1099102,26.8
2014,10,1271705,37
2014,11,1168427,39.1
2014,12,1236073,43
2015,01,1218393,29.1
2015,02,1386982,57.6
2015,03,1525879,45.2
2015,04,1764691,43.3
2015,05,1641734,49.6
2015,06,1602198,51.8
2015,07,1918356,51
2015,08,1817023,63.8
2015,09,1612208,46.7
2015,10,1829265,43.8
2015,11,1647550,41
2015,12,1773130,43.4
2016,01,1851895,52
2016,02,1891375,36.4
2016,03,2009550,31.7
2016,04,2081697,18
2016,05,1893574,15.3
2016,06,1985722,23.9
2016,07,2296451,19.7
2016,08,2049234,12.8
2016,09,1918246,19
2016,10,2135904,16.8
2016,11,1875404,13.8
2016,12,2050648,15.7
2017,01,2295668,24
2017,02,2035771,7.6
2017,03,2205664,9.8
2017,04,2578970,23.9
2017,05,2294717,21.2
2017,06,2346442,18.2
2017,07,2681518,16.8
2017,08,2477428,20.9
2017,09,2280406,18.9
2017,10,2595148,21.5
2017,11,2378079,26.8
2017,12,2521262,22.9
2018,01,2501409,9
2018,02,2509297,23.3
2018,03,2607956,18.2
2018,04,2900718,12.5
2018,05,2675052,16.6
2018,06,2704631,15.3
2018,07,2832040,5.6
2018,08,2578021,4.1
2018,09,2159595,-5.3
2018,10,2640610,1.8
2018,11,2450751,3.1
2018,12,2631776,4.4
2019,01,2689339,7.5
2019,02,2604322,3.8
2019,03,2760136,5.8
2019,04,2926685,0.9
2019,05,2773091,3.7
2019,06,2880041,6.5
2019,07,2991189,5.6
2019,08,2520134,-2.2
2019,09,2272883,5.2
2019,10,2496568,-5.5
2019,11,2441274,-0.4
2019,12,2526387,-4
2020,01,2661022,-1.1
2020,02,1085147,-58.3
2020,03,193658,-93
2020,04,2917,-99.9
2020,05,1663,-99.9
2020,06,2565,-99.9
2020,07,3782,-99.9
2020,08,8658,-99.7
2020,09,13684,-99.4
2020,10,27386,-98.9
2020,11,56673,-97.7
2020,12,58673,-97.7
2021,01,46522,-98.3
2021,02,7355,-99.3
2021,03,12276,-93.7
2021,04,10853,272.1
2021,05,10035,503.4
2021,06,9251,260.7
2021,07,51055,1249.9
2021,08,25916,199.3
2021,09,17720,29.5
2021,10,22113,-19.3
2021,11,20682,-63.5
2021,12,12084,-79.4
2022,01,17766,-61.8
2022,02,16719,127.3
2022,03,66121,438.6
2022,04,139548,1185.8
2022,05,147046,1365.3
2022,06,120430,1201.8
2022,07,144578,183.2
2022,08,169902,555.6
2022,09,206641,1066.1
2022,10,498646,2155
2022,11,934599,4418.9
2022,12,1370114,11238.2
2023,01,1497472,8328.9
2023,02,1475455,8725
2023,03,1817616,2648.9
2023,04,1949236,1296.8
2023,05,1899176,1191.6
2023,06,2073441,1621.7
2023,07,2320694,1505.2
2023,08,2157190,1169.7
2023,09,2184442,957.1
2023,10,2516623,404.7
2023,11,2440890,161.2
2023,12,2734115,99.6
2024,01,2688100,79.5
2024,02,2788000,89
2024,03,0,0
2024,04,0,0
2024,05,0,0
2024,06,0,0
2024,07,0,0
2024,08,0,0
2024,09,0,0
2024,10,0,0
2024,11,0,0
2024,12,0,0
