Year,Month,grand_total,percent_change
1996,January,276086,0
1996,February,283667,0
1996,March,310702,0
1996,April,329303,0
1996,May,326156,0
1996,June,316699,0
1996,July,377070,0
1996,August,345020,0
1996,September,311881,0
1996,October,366841,0
1996,November,316551,0
1996,December,277137,0
1997,January,302148,9.4
1997,February,309318,9
1997,March,355228,14.3
1997,April,364875,10.8
1997,May,350961,7.6
1997,June,345070,9
1997,July,407510,8.1
1997,August,395056,14.5
1997,September,345382,10.7
1997,October,419235,14.3
1997,November,342434,8.2
1997,December,280991,1.4
1998,January,324913,7.5
1998,February,284792,-7.9
1998,March,325185,-8.5
1998,April,349854,-4.1
1998,May,320277,-8.7
1998,June,333460,-3.4
1998,July,399305,-2
1998,August,401594,1.7
1998,September,330401,-4.3
1998,October,405150,-3.4
1998,November,328978,-3.9
1998,December,302148,7.5
1999,January,308764,-5
1999,February,330460,16
1999,March,353512,8.7
1999,April,388777,11.1
1999,May,364474,13.8
1999,June,379914,13.9
1999,July,446236,11.8
1999,August,418094,4.1
1999,September,360579,9.1
1999,October,410942,1.4
1999,November,358193,8.9
1999,December,317918,5.2
2000,January,335621,8.7
2000,February,360621,9.1
2000,March,365689,3.4
2000,April,443028,14
2000,May,381053,4.5
2000,June,400139,5.3
2000,July,483849,8.4
2000,August,423361,1.3
2000,September,379753,5.3
2000,October,443862,8
2000,November,378910,5.8
2000,December,361260,13.6
2001,January,416490,24.1
2001,February,315483,-12.5
2001,March,401054,9.7
2001,April,449934,1.6
2001,May,390515,2.5
2001,June,403477,0.8
2001,July,479822,-0.8
2001,August,433490,2.4
2001,September,354578,-6.6
2001,October,403181,-9.2
2001,November,354484,-6.4
2001,December,369047,2.2
2002,January,392588,-5.7
2002,February,400081,26.8
2002,March,434034,8.2
2002,April,460377,2.3
2002,May,438537,12.3
2002,June,441123,9.3
2002,July,516013,7.5
2002,August,484771,11.8
2002,September,401407,13.2
2002,October,471813,17
2002,November,404537,14.1
2002,December,393682,6.7
2003,January,450847,14.8
2003,February,394869,-1.3
2003,March,456614,5.2
2003,April,354054,-23.1
2003,May,288562,-34.2
2003,June,352431,-20.1
2003,July,515692,-0.1
2003,August,550380,13.5
2003,September,457574,14
2003,October,527859,11.9
2003,November,444435,9.9
2003,December,418408,6.3
2004,January,538334,19.4
2004,February,417519,5.7
2004,March,488778,7
2004,April,546662,54.4
2004,May,500830,73.6
2004,June,505003,43.3
2004,July,610190,13.8
2004,August,567869,7.2
2004,September,481570,5.2
2004,October,539353,2.2
2004,November,486403,9.4
2004,December,455394,8.8
2005,January,516280,-4.1
2005,February,519460,24.4
2005,March,557640,14.1
2005,April,584406,6.9
2005,May,530752,6
2005,June,551134,9.1
2005,July,669172,9.7
2005,August,618655,8.9
2005,September,540462,12.2
2005,October,599539,11.2
2005,November,526229,8.2
2005,December,514197,12.9
2006,January,613596,18.8
2006,February,513906,-1.1
2006,March,579197,3.9
2006,April,672319,15
2006,May,586326,12.7
2006,June,557600,1.2
2006,July,701527,4.8
2006,August,655488,6
2006,September,573627,6.1
2006,October,699605,16.7
