Name,Type,Aired,Rating,Votes,Discription,Studio,Genre
One Piece,TV Series,1999-2023,9,223000,"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece.""",Toei Animation,"Action, Adventure"
Attack on Titan,TV Series,2013-2023,9.1,496000,"After his hometown is destroyed and is traumatized, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Wit Studio, Production I.G., Mappa","Action, Dark fantasy, Post-apocalyptic"
HUNTER×HUNTER,TV Series,2011-2014,9,130000,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","Madhouse, Nippon Television Network (NTV), Shueisha","Adventure, Fantasy, Comedy, Martial arts"
Naruto: Shippûden,TV Series,2007-2017,8.7,162000,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of... Read all",Pierrot,"Adventure, Fantasy, Comedy, Martial arts"
Naruto,TV Series,2002-2007,8.4,124000,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.","Pierrot, Staralis Film Company","Adventure, Fantasy, Comedy, Martial arts"
Death Note: Desu nôto,TV Series,2006-2007,8.9,371000,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"D.N. Dream Partners, Madhouse, Nippon Television Network (NTV)","Supernatural thriller, Fantasy"
Hagane No Renkinjutsushi,TV Series,2009-2010,9.1,194000,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Bones, Square Enix Company","Adventure, Dark fantasy, Steampunk"
Bleach: Burîchi,TV Series,2004-2023,8.2,68000,"High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows"".","TV Tokyo, Dentsu, Pierrot","Action, Bangsian fantasy, Supernatural"
JoJo no Kimyou na Bouken,TV Series,2012-2023,8.5,33000,"The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives.","David Production, Lucky Land Communications, Medicos Entertainment","Adventure, Supernatural"
Pokémon,TV Series,1997-2023,7.5,47000,"A young boy named Ash Ketchum embarks on a journey to become a ""Pokemon Master"" with his first Pokemon, Pikachu. Joining him on his travels are Brock, a girl-obsessed Rock Pokemon Trainer, a... Read all","Creatures, GAME FREAK, Nintendo","Adventure, Fantasy, Comedy"
Kenpû Denki Berserk,TV Series,1997-1998,8.7,51000,"Guts, a wandering mercenary, joins the Band of the Hawk after being defeated in a duel by Griffith, the group's leader and founder. Together, they dominate every battle, but something menaci... Read all","OLM-Animation Studio, Video Audio Project (VAP)",Dark fantasy
Kaubôi bibappu,TV Series,1998-1999,8.9,136000,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Bandai Visual Company, Sunrise","Neo-noir, Space, Western"
Dragon Ball Z,TV Series,1989-1996,8.8,145000,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.","Bird Studios, Ocean Group, Toei Animation","Adventure, Fantasy, Martial arts"
Monster,TV Series,2004-2005,8.7,43000,"Tenma, a brilliant neurosurgeon with a promising future, risks his career to save the life of a critically wounded young boy. The boy, now a charismatic young man, reappears 9 years later in... Read all","Madhouse, Shogakukan Production, Video Audio Project (VAP)","Mystery, Thriller"
Nanatsu No Taizai,TV Series,2014-2021,7.8,37000,"The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didn't commit and went on a quest to vindicate themselves.","A-1 Pictures, A-1 Pictures, Studio DEEN",Supernatural
Shin Seiki Evangelion,TV Series,1995-1996,8.5,83000,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,"Gainax, Nihon Ad Systems (NAS), TV Tokyo","Adventure, Comedy drama, Mecha"
Haikyuu!!,TV Series,2014-2020,8.7,34000,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.","Mainichi Broadcasting System (MBS), Production I.G., Production I.G.","Comedy, Coming-of-age, Sports"
Gintama,TV Series,2005-2021,8.7,15000,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","Bandai Namco Pictures (BNP), Bandai Namco, Dentsu","Science Fiction, Drama, Pseudo-historical, Comedy"
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,TV Series,2006-2008,8.7,79000,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.","Bandai Namco Games, Bandai Visual Company, Bandai","Alternate history, Science Fiction"
Steins;Gate,TV Series,2011-2015,8.8,72000,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Frontier Works, Future Gadget Lab","Psychological thriller, Science Fiction"
Sword Art Online,TV Series,2012-2023,7.5,52000,"In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape.","A-1 Pictures, ASCII Mediaworks, Aniplex","Adventure, Science Fiction"
Tokyo Ghoul,TV Mini Series,2014-2014,7.7,63000,"A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.",Pierrot,Dark fantasy
High School DxD,TV Series,2012-2018,7.6,13000,"After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils.","AT-X, Fujimishobo, Genco","Supernatural, Action"
Fairy Tail,TV Series,2009-2019,7.9,28000,"Lucy, an aspiring Celestial Wizard, becomes a friend and ally to powerful wizards Natsu, Gray, and Erza, who are part of the (in)famous wizard guild, Fairy Tail.","Pony Canyon, A-1 Pictures, Bridge","Adventure, Fantasy"
Meitantei Conan,TV Series,1996-2023,8.5,15000,The cases of a detective whose physical age was chemically reversed to that of a prepubescent boy but must hide his true mental development.,"TMS Entertainment, Tokyo Movie, V1 Studio","Mystery, Thriller"
Yu Yu Hakusho,TV Series,1992-1995,8.5,16000,"After a teenage delinquent is killed while saving a child's life from an approaching car, the rulers of the underworld send him back to become an ""Underworld Detective"" investigating demons ... Read all","Pierrot, Yomiko Advertising, Shueisha",
Shigatsu Wa Kimi No Uso,TV Series,2014-2018,8.6,37000,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,"A-1 Pictures, Aniplex, Dentsu",Romantic drama
Hagane No Renkinjutsushi,TV Series,2003-2004,8.5,77000,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st... Read all","Aniplex, Bones, Mainichi Broadcasting System (MBS)","Adventure, Dark fantasy, Steampunk"
Parasyte: The Maxim,TV Series,2014-2015,8.3,47000,"17-year-old Shinichi Izumi is partially infected by a Parasyte, monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a P... Read all","Forecast Communications, Madhouse, Nippon Television Network (NTV)","Body horror, Horror, Thriller, Science Fiction"
Dragon Ball,TV Series,1995-2003,8.5,64000,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once a... Read all","FUNimation Entertainment, Harmony Gold, Ocean Group","Adventure, Fantasy, Martial arts"
Samurai chanpurû,TV Series,2004-2005,8.6,55000,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","Barnum Studio, Flying Dog, Fuji Television Network","Adventure, Historical, Samurai"
Erufen rîto,TV Mini Series,2004-2004,7.9,36000,"Two university students come across a seemingly harmless girl named Lucy, unaware that she's actually a mutant serial killer with a split personality.",Arms,"Dark fantasy, Science Fiction"
Yu-Gi-Oh!,TV Series,2000-2006,7.3,23000,"Yugi Moto solves an Ancient Egyptian Puzzle and brings forth a dark and powerful alter ego. Whenever he and his friends are threatened by evil in Duel Monster Card Game, this alter ego break... Read all","Studio Gallop, Studio Gallop","Adventure, Science fantasy"
Nana,TV Series,2006-2007,8.5,5400,"Two ostensibly opposite women, both named Nana, become roommates in Tokyo and grow inseparable. However, their relationship is jeopardized as the harsh realities of adult life take shape.","Madhouse, Nippon Television Network (NTV), Shueisha","Drama, Musical, Romance"
Akame Ga Kill!,TV Series,2014-2014,7.8,29000,A countryside boy named Tatsumi sets out on a journey to The Capital to make a name for himself and met a seemingly dangerous group of Assassins known as Night Raid. Their journey begins.,"Square Enix Company, TOHO animation, White Fox","Action, Dark fantasy"
Hellsing Ultimate,TV Mini Series,2006-2012,8.2,26000,"The vampire Alucard, his master Sir Integra Fairbrook Wingates Hellsing, and his newly sired ward Seras Victoria, try to protect England from a war-crazed SS-Major who seeks to start an eter... Read all","G.D.H., Geneon Entertainment, Graphinica","Action, Dark fantasy, Vampire"
Psycho-Pass,TV Series,2012-2019,8.2,22000,"Believing in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this perfect sy... Read all","Dentsu, Fuji Television Network, Index","Crime, Cyberpunk, Psychological thriller"
Gakuen Mokushiroku: HIGHSCHOOL of the DEAD,TV Mini Series,2010-2010,7.2,15000,High school students are overwhelmed with the start of the zombie apocalypse.,"Madhouse, AT-X, Geneon Universal Entertainment","Action, Horror, Supernatural thriller"
Sailor Moon,TV Series,1992-1997,7.7,7400,"A group of schoolgirls discover they are incarnations of super-powered alien princesses, and use their abilities to defend the earth.","Toei Agency, Toei Animation, Toei Company",
Hajime No Ippo,TV Series,2000-2002,8.8,9300,"Ippo, a teenage boy with a pure heart and unrelenting determination, discovers a passion for boxing after veteran fighter Takamura saves him from bullies.",Madhouse,Sports
Ansatsu kyôshitsu,TV Series,2013-2016,8,20000,"A powerful creature claims that within a year, Earth will be destroyed by him, but he offers mankind a chance by becoming a homeroom teacher where he teaches his students about how to kill h... Read all","Fuji Television Network, Lerche, Lerche","Science Fiction, Comedy"
Dragon Ball Kai: Doragon bôru kai,TV Series,2009-2015,8.3,24000,"Goku is settled with his family and is living in peace. Unfortunately, his peaceful time is momentary as a visitor crashes into the planet claiming to be his brother.","Fuji Television Network, Toei Animation","Adventure, Action, Comedy, Fantasy"
Serial Experiments Lain,TV Mini Series,1998-1998,8.1,17000,"Strange things start happening when a withdrawn girl named Lain becomes obsessed with an interconnected virtual realm known as ""The Wired"".","Pioneer LDC, Triangle Staff",
Inuyasha,TV Series,2000-2004,7.9,18000,A teenage girl periodically travels back in time to feudal Japan to help a young half-demon recover the shards of a jewel of great power.,"Yomiuri Telecasting Corporation (YTV), Sunrise",Fantasy
Black Lagoon,TV Series,2006-2006,7.9,18000,"A Japanese businessman, captured by modern-day pirates, is written off and left for dead by his company. Tired of the corporate life, he opts to stick with the mercenaries that kidnapped him... Read all","Black Lagoon Committee, Geneon Entertainment, Madhouse","Crime Girls with guns, Thriller"
Tengen Toppa Gurren Lagann,TV Series,2007-2007,8.3,21000,"Two friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages.","Aniplex, Gainax, Konami","Adventure, Comedy drama, Mecha"
Ginga eiyû densetsu,TV Series,1988-1997,9,4600,"Various people, especially two rising commanders, cope with a massive continual space conflict between two interstellar nations.",Kitty Films,
Rurôni Kenshin - Meiji kenkaku romantan,TV Series,1996-1998,8.5,20000,The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.,"Aniplex, SME Visual Works, Shueisha",
KILL la KILL,TV Series,2013-2014,7.9,17000,A young girl arrives at a school of superhumans to find out the truth behind her father's murder.,"Aniplex, Kadokawa Shoten Publishing Co., Lucent Pictures Entertainment","Action, Comedy, Magical girl"
Ao No Ekusoshisuto,TV Series,2011-2011,7.4,15000,"After discovering that he's the son of Satan, a young man must join the True Cross Academy in order to master his abilities and defeat Satan himself.","Aniplex, Shueisha, Movic","Adventure, Dark fantasy"
Hunter X Hunter,TV Series,1999-2001,8.6,9400,"The history of Gon Freecs, a boy who left home alone to become a Hunter. In the hard test, Gon meets Leorio, Kurapika and Killua.",Nippon Animation Co.,"Adventure, Fantasy, Martial arts"
Fate/Zero,TV Series,2011-2012,8.2,15000,Seven chosen mages and their summoned heroic spirits fight against each other to try and win the Holy Grail: a magical device that can grant any wish.,"Aniplex, Nitroplus, Seikaisha","Action, Dark fantasy, Tragedy"
Trigun,TV Series,1998-1998,8.2,24000,Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after.,"Madhouse, Teletoon, Tokuma Shoten",
Paranoia Agent,TV Mini Series,2004-2004,8,14000,"Seemingly unconnected citizens of Tokyo are targeted for bludgeoning by a boy with a golden baseball bat. As detectives try to link the victims, they discover that following the assaults, th... Read all","Asmik Ace Entertainment, Madhouse, Tohokushinsha Film Corporation (TFC)","Mystery, Psychological thriller, Supernatural"
Yahari Ore No Seishun Rabukome Wa Machigatteiru.,TV Series,2013-2023,7.9,8600,"About an antisocial high school student named Hikigaya Hachiman with a distorted view on life and no friends or girlfriend. His life change when he was forced to enter the ""Volunteer Service... Read all","Brains Base, Feel, Marvelous Entertainment","Romance, Comedy, Slice of life"
Anazâ,TV Mini Series,2012-2012,7.5,18000,"A young man named, Koichi Sakakibara, transfers to a new school where he finds himself drawn into a mystery involving a mysterious girl and a series of gruesome deaths.","Kadokawa Shoten Publishing Co., Lantis, P.A. Works","Mystery, Horror"
Ergo Proxy,TV Series,2006-2006,7.9,16000,"In a post-apocalyptic future humans live in peace with androids in a domed city. However, a strange series of murders has intruded into bored inspector Re-l Mayer's life.","Geneon Entertainment, Manglobe, WOWOW","Cyberpunk, Post-apocalyptic, Psychological  thriller"
Death Parade,TV Mini Series,2015-2015,7.9,20000,"After death, humans go to either heaven or hell. But for some, at the instant of their death, they arrive at the Quindecim, a bar attended by the mysterious white-haired Decim.","Madhouse, Nippon Television Network (NTV), Video Audio Project (VAP)",Psychological thriller
Mirai Nikki,TV Series,2011-2013,7.5,20000,"A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future.","12 Diary Holders, Asread, Chara-Ani","Mystery, Psychological thriller, Romance"
Mushishi,TV Series,2005-2014,8.5,14000,"Ginko is an expert travelling around to investigate a primeval life-form, the ""Mushi,"" and helping people with Mushi-related supernatural problems.","Artland, Avex Entertainment, Marvelous Entertainment","Adventure, Supernatural"
Æon Flux,TV Series,1991-1995,7.8,7000,"This is a mysterious and immoral secret agent from the country of Monica. His motives or background remain unexplained, as do those of his antagonist/lover, Trevor Goodchild.","Colossal Pictures, MTV Animation, MTV Networks",
Kureimoa,TV Series,2007-2007,8,15000,"In a world plagued by deadly creatures called ""youma,"" a young silver-eyed girl, Clare, works on behalf of an organization that trains female youma half-breeds to become warriors.","Nippon Television Network (NTV), D.N. Dream Partners, Video Audio Project (VAP)","Adventure, Dark fantasy"
