realtime_start,value,date,realtime_end
2019-12-06,16859,2012-07-01,2019-12-06
2019-12-06,17167,2012-10-01,2019-12-06
2019-12-06,14450,2013-01-01,2019-12-06
2019-12-06,20217,2013-04-01,2019-12-06
2019-12-06,21433,2013-07-01,2019-12-06
2019-12-06,19828,2013-10-01,2019-12-06
2019-12-06,17195,2014-01-01,2019-12-06
2019-12-06,21843,2014-04-01,2019-12-06
2019-12-06,23554,2014-07-01,2019-12-06
2019-12-06,21607,2014-10-01,2019-12-06
2019-12-06,17905,2015-01-01,2019-12-06
2019-12-06,25270,2015-04-01,2019-12-06
2019-12-06,26404,2015-07-01,2019-12-06
2019-12-06,23290,2015-10-01,2019-12-06
2019-12-06,20727,2016-01-01,2019-12-06
2019-12-06,27777,2016-04-01,2019-12-06
2019-12-06,27963,2016-07-01,2019-12-06
2019-12-06,26020,2016-10-01,2019-12-06
2019-12-06,22848,2017-01-01,2019-12-06
2019-12-06,29428,2017-04-01,2019-12-06
2019-12-06,28543,2017-07-01,2019-12-06
2019-12-06,27414,2017-10-01,2019-12-06
2019-12-06,22169,2018-01-01,2019-12-06
2019-12-06,29208,2018-04-01,2019-12-06
2019-12-06,28866,2018-07-01,2019-12-06
2019-12-06,28562,2018-10-01,2019-12-06
2019-12-06,22739,2019-01-01,2019-12-06
2019-12-06,30297,2019-04-01,2019-12-06
