realtime_start,value,date,realtime_end
2019-12-06,150658,2004-10-01,2019-12-06
2019-12-06,152246,2005-01-01,2019-12-06
2019-12-06,153530,2005-04-01,2019-12-06
2019-12-06,157513,2005-07-01,2019-12-06
2019-12-06,157753,2005-10-01,2019-12-06
2019-12-06,159968,2006-01-01,2019-12-06
2019-12-06,162804,2006-04-01,2019-12-06
2019-12-06,165613,2006-07-01,2019-12-06
2019-12-06,169423,2006-10-01,2019-12-06
2019-12-06,172065,2007-01-01,2019-12-06
2019-12-06,174331,2007-04-01,2019-12-06
2019-12-06,177024,2007-07-01,2019-12-06
2019-12-06,179628,2007-10-01,2019-12-06
2019-12-06,182387,2008-01-01,2019-12-06
2019-12-06,182551,2008-04-01,2019-12-06
2019-12-06,183183,2008-07-01,2019-12-06
2019-12-06,184209,2008-10-01,2019-12-06
2019-12-06,188628,2009-01-01,2019-12-06
2019-12-06,193429,2009-04-01,2019-12-06
2019-12-06,195861,2009-07-01,2019-12-06
2019-12-06,196762,2009-10-01,2019-12-06
2019-12-06,194277,2010-01-01,2019-12-06
2019-12-06,199399,2010-04-01,2019-12-06
2019-12-06,203046,2010-07-01,2019-12-06
2019-12-06,206159,2010-10-01,2019-12-06
2019-12-06,206397,2011-01-01,2019-12-06
2019-12-06,209837,2011-04-01,2019-12-06
2019-12-06,207296,2011-07-01,2019-12-06
2019-12-06,213646,2011-10-01,2019-12-06
2019-12-06,217508,2012-01-01,2019-12-06
2019-12-06,217715,2012-04-01,2019-12-06
2019-12-06,220969,2012-07-01,2019-12-06
2019-12-06,220488,2012-10-01,2019-12-06
2019-12-06,221469,2013-01-01,2019-12-06
2019-12-06,225166,2013-04-01,2019-12-06
2019-12-06,226446,2013-07-01,2019-12-06
2019-12-06,231393,2013-10-01,2019-12-06
2019-12-06,227501,2014-01-01,2019-12-06
2019-12-06,234457,2014-04-01,2019-12-06
2019-12-06,239339,2014-07-01,2019-12-06
2019-12-06,244884,2014-10-01,2019-12-06
2019-12-06,249054,2015-01-01,2019-12-06
2019-12-06,251139,2015-04-01,2019-12-06
2019-12-06,251040,2015-07-01,2019-12-06
2019-12-06,252026,2015-10-01,2019-12-06
2019-12-06,257606,2016-01-01,2019-12-06
2019-12-06,265971,2016-04-01,2019-12-06
2019-12-06,265579,2016-07-01,2019-12-06
2019-12-06,272783,2016-10-01,2019-12-06
2019-12-06,274618,2017-01-01,2019-12-06
2019-12-06,274863,2017-04-01,2019-12-06
2019-12-06,280045,2017-07-01,2019-12-06
2019-12-06,285162,2017-10-01,2019-12-06
2019-12-06,283975,2018-01-01,2019-12-06
2019-12-06,287977,2018-04-01,2019-12-06
2019-12-06,293394,2018-07-01,2019-12-06
2019-12-06,290936,2018-10-01,2019-12-06
2019-12-06,301070,2019-01-01,2019-12-06
2019-12-06,304856,2019-04-01,2019-12-06
