realtime_start,value,date,realtime_end
2019-12-06,4707,1998-01-01,2019-12-06
2019-12-06,4626,1999-01-01,2019-12-06
2019-12-06,4642,2000-01-01,2019-12-06
2019-12-06,4773,2001-01-01,2019-12-06
2019-12-06,4752,2002-01-01,2019-12-06
2019-12-06,4769,2003-01-01,2019-12-06
2019-12-06,4808,2004-01-01,2019-12-06
2019-12-06,4904,2005-01-01,2019-12-06
2019-12-06,4856,2006-01-01,2019-12-06
2019-12-06,5055,2007-01-01,2019-12-06
2019-12-06,4922,2008-01-01,2019-12-06
2019-12-06,4521,2009-01-01,2019-12-06
2019-12-06,4180,2010-01-01,2019-12-06
2019-12-06,3875,2011-01-01,2019-12-06
2019-12-06,3682,2012-01-01,2019-12-06
2019-12-06,3676,2013-01-01,2019-12-06
2019-12-06,3952,2014-01-01,2019-12-06
2019-12-06,4109,2015-01-01,2019-12-06
2019-12-06,4042,2016-01-01,2019-12-06
2019-12-06,3986,2017-01-01,2019-12-06
