realtime_start,value,date,realtime_end
2019-12-06,2385,1998-01-01,2019-12-06
2019-12-06,2719,1999-01-01,2019-12-06
2019-12-06,2927,2000-01-01,2019-12-06
2019-12-06,3044,2001-01-01,2019-12-06
2019-12-06,3274,2002-01-01,2019-12-06
2019-12-06,3595,2003-01-01,2019-12-06
2019-12-06,4026,2004-01-01,2019-12-06
2019-12-06,4484,2005-01-01,2019-12-06
2019-12-06,4947,2006-01-01,2019-12-06
2019-12-06,5378,2007-01-01,2019-12-06
2019-12-06,5493,2008-01-01,2019-12-06
2019-12-06,5503,2009-01-01,2019-12-06
2019-12-06,5649,2010-01-01,2019-12-06
2019-12-06,5638,2011-01-01,2019-12-06
2019-12-06,5955,2012-01-01,2019-12-06
2019-12-06,6021,2013-01-01,2019-12-06
2019-12-06,6312,2014-01-01,2019-12-06
2019-12-06,6402,2015-01-01,2019-12-06
2019-12-06,6625,2016-01-01,2019-12-06
2019-12-06,6813,2017-01-01,2019-12-06
