realtime_start,value,date,realtime_end
2019-12-06,5337,1998-01-01,2019-12-06
2019-12-06,5794,1999-01-01,2019-12-06
2019-12-06,6389,2000-01-01,2019-12-06
2019-12-06,6791,2001-01-01,2019-12-06
2019-12-06,6908,2002-01-01,2019-12-06
2019-12-06,7271,2003-01-01,2019-12-06
2019-12-06,7596,2004-01-01,2019-12-06
2019-12-06,7827,2005-01-01,2019-12-06
2019-12-06,7935,2006-01-01,2019-12-06
2019-12-06,8276,2007-01-01,2019-12-06
2019-12-06,7992,2008-01-01,2019-12-06
2019-12-06,7702,2009-01-01,2019-12-06
2019-12-06,7459,2010-01-01,2019-12-06
2019-12-06,7650,2011-01-01,2019-12-06
2019-12-06,7471,2012-01-01,2019-12-06
2019-12-06,7741,2013-01-01,2019-12-06
2019-12-06,8315,2014-01-01,2019-12-06
2019-12-06,9033,2015-01-01,2019-12-06
2019-12-06,9088,2016-01-01,2019-12-06
2019-12-06,9749,2017-01-01,2019-12-06
